序号,物料名称,型号/规格,数量,单位,用途,备注
1,边缘计算主控板,RDX X5(地平线旭日X5),1,块,运行 ROS2 与 BPU 视觉推理,建议 8G 内存及以上
2,机器人车体,OriginBot 底盘套件,1,套,承载设备与运动执行,含亚克力结构件
3,直流减速电机,带编码器减速电机,2,个,底盘差速驱动,与底盘配套
4,电机驱动板,OriginBot 原生驱动板,1,块,电机 PWM 控制与编码器反馈,
5,激光雷达,VP100,1,台,环境感知与 Cartographer SLAM 建图,ROS2 驱动
6,IMU 模组,6 轴/9 轴 IMU,1,个,位姿采集与里程计融合,板载或外置
7,USB 摄像头,1080P 高清(免驱 UVC),1,个,视觉图像采集,发布 /image 话题
8,4G 通信模组,广和通 L610,1,个,MQTT 云端通信(AT+HMCON),含 SIM 卡与天线
9,锂电池组,12V 18650 3S 电池组,1,组,整车供电,容量按续航需求选择
10,电源模块,5V/3A DC-DC 降压模块,1,个,为主控板与外围模组供电,
12,线材与连接件,杜邦线/USB 线/电源线,1,批,模块互联,
13,紧固件,M3 铜柱/螺丝/螺母,1,批,结构固定,
